아,어찌됏든
휴,그위에
아이구,게다가
아이쿠,점에서 보아
아이고,비추어 보아
어,고려하면
나,하게될것이다
우리,일것이다
저희,비교적
따라,좀
의해,보다더
을,비하면
를,시키다
에,하게하다
의,할만하다
가,의해서
으로,연이서
로,이어서
에게,잇따라
뿐이다,뒤따라
의거하여,뒤이어
근거하여,결국
입각하여,의지하여
기준으로,기대여
예하면,통하여
예를 들면,자마자
예를 들자면,더욱더
저,불구하고
소인,얼마든지
소생,마음대로
저희,주저하지 않고
지말고,곧
하지마,즉시
하지마라,바로
다른,당장
물론,하자마자
또한,밖에 안된다
그리고,하면된다
비길수 없다,그래
해서는 안된다,그렇지
뿐만 아니라,요컨대
만이 아니다,다시 말하자면
만은 아니다,바꿔 말하면
막론하고,즉
관계없이,구체적으로
그치지 않다,말하자면
그러나,시작하여
그런데,시초에
하지만,이상
든간에,허
논하지 않다,헉
따지지 않다,허걱
설사,바와같이
비록,해도좋다
더라도,해도된다
아니면,게다가
만 못하다,더구나
하는 편이 낫다,하물며
불문하고,와르르
향하여,팍
향해서,퍽
향하다,펄렁
쪽으로,동안
틈타,이래
이용하여,하고있었다
타다,이었다
오르다,에서
제외하고,로부터
이 외에,까지
이 밖에,예하면
하여야,했어요
비로소,해요
한다면 몰라도,함께
외에도,같이
이곳,더불어
여기,마저
부터,마저도
기점으로,양자
따라서,모두
할 생각이다,습니다
하려고하다,가까스로
이리하여,하려고하다
그리하여,즈음하여
그렇게 함으로써,다른
하지만,다른 방면으로
일때,해봐요
할때,습니까
앞에서,했어요
중에서,말할것도 없고
보는데서,무릎쓰고
으로써,개의치않고
로써,하는것만 못하다
까지,하는것이 낫다
해야한다,매
일것이다,매번
반드시,들
할줄알다,모
할수있다,어느것
할수있어,어느
임에 틀림없다,로써
한다면,갖고말하자면
등,어디
등등,어느쪽
제,어느것
겨우,어느해
단지,어느 년도
다만,라 해도
할뿐,언젠가
딩동,어떤것
댕그,어느것
대해서,저기
대하여,저쪽
대하면,저것
훨씬,그때
얼마나,그럼
얼마만큼,그러면
얼마큼,요만한걸
남짓,그래
여,그때
얼마간,저것만큼
약간,그저
다소,이르기까지
좀,할 줄 안다
조금,할 힘이 있다
다수,너
몇,너희
얼마,당신
지만,어찌
하물며,설마
또한,차라리
그러나,할지언정
그렇지만,할지라도
하지만,할망정
이외에도,할지언정
대해 말하자면,구토하다
뿐이다,게우다
다음에,토하다
반대로,메쓰겁다
반대로 말하자면,옆사람
이와 반대로,퉤
바꾸어서 말하면,쳇
바꾸어서 한다면,의거하여
만약,근거하여
그렇지않으면,의해
까악,따라
툭,힘입어
딱,그
삐걱거리다,다음
보드득,버금
비걱거리다,두번째로
꽈당,기타
응당,첫번째로
해야한다,나머지는
에 가서,그중에서
각,견지에서
각각,형식으로 쓰여
여러분,입장에서
각종,위해서
각자,단지
제각기,의해되다
하도록하다,하도록시키다
와,뿐만아니라
과,반대로
그러므로,전후
그래서,전자
고로,앞의것
한 까닭에,잠시
하기 때문에,잠깐
거니와,하면서
이지만,그렇지만
대하여,다음에
관하여,그러한즉
관한,그런즉
과연,남들
실로,아무거나
아니나다를가,어찌하든지
생각한대로,같다
진짜로,비슷하다
한적이있다,예컨대
하곤하였다,이럴정도로
하,어떻게
하하,만약
허허,만일
아하,위에서 서술한바와같이
거바,인 듯하다
와,하지 않는다면
오,만약에
왜,무엇
어째서,무슨
무엇때문에,어느
어찌,어떤
하겠는가,아래윗
무슨,조차
어디,한데
어느곳,그럼에도 불구하고
더군다나,여전히
하물며,심지어
더욱이는,까지도
어느때,조차도
언제,하지 않도록
야,않기 위하여
이봐,때
어이,시각
여보시오,무렵
흐흐,시간
흥,동안
휴,어때
헉헉,어떠한
헐떡헐떡,하여금
영차,네
여차,예
어기여차,우선
끙끙,누구
아야,누가 알겠는가
앗,아무도
아야,줄은모른다
콸콸,줄은 몰랏다
졸졸,하는 김에
좍좍,겸사겸사
뚝뚝,하는바
주룩주룩,그런 까닭에
솨,한 이유는
우르르,그러니
그래도,그러니까
또,때문에
그리고,그
바꾸어말하면,너희
바꾸어말하자면,그들
혹은,너희들
혹시,타인
답다,것
및,것들
그에 따르는,너
때가 되어,위하여
즉,공동으로
지든지,동시에
설령,하기 위하여
가령,어찌하여
하더라도,무엇때문에
할지라도,붕붕
일지라도,윙윙
지든지,나
몇,우리
거의,엉엉
하마터면,휘익
인젠,윙윙
이젠,오호
된바에야,아하
된이상,어쨋든
만큼,만 못하다
